texto,label
estoy feliz con la compra realizada.,positivo
El empaque y presentación fueron impecables. Águila-Porcel me convenció.,positivo
Buen precio y excelente servicio.,positivo
"Recomendaría este servicio sin duda. Perelló, Conesa and Bonet me convenció.",positivo
Excelenteatenciónyentregarápida.Ballester-Mercadermeconvenció.,positivo
Estoy feliz con la compra realizada.,positivo
Estoy feliz con la compra realizada.!!!,positivo
Recomendaría este servicio sin duda. Bru and Sons me convenció.,positivo
"La experiencia fue muy positiva. Lorenzo, Rebollo and Mariño me convenció.",positivo
recomendaría este servicio sin duda.,negativo
Todo llegó a tiempo y en buen estado.!!!,positivo
"Estoy feliz con la compra realizada. Leon, Gargallo and Nebot me convenció.",positivo
La experiencia fue muy positiva.,positivo
"Muy útil y práctico, justo lo que necesitaba. Cabo, Zapata and Soto me convenció.",positivo
El empaque y presentación fueron impecables. Escrivá-Menéndez me convenció.,positivo
buen precio y excelente servicio.,positivo
"Superó mis expectativas, muy satisfecho. Sanz PLC me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Cano Group me convenció.",positivo
"Muy útil y práctico, justo lo que necesitaba. Vilar-Bernal me convenció.",positivo
Excelente atención y entrega rápida. Castañeda-Beltrán me convenció.,positivo
Todollegóatiempoyenbuenestado.MansoIncmeconvenció.,positivo
"Producto de buena calidad, funciona perfectamente. Olivé, Benavente and Bernal me convenció.",positivo
"Excelente atención y entrega rápida. Macías, Lara and Merino me convenció.",positivo
producto de buena calidad funciona perfectamente.,positivo
"La experiencia fue muy positiva. Alcolea, Rozas and Zaragoza me convenció.",positivo
"Producto de buena calidad, funciona perfectamente.",positivo
"Muy útil y práctico, justo lo que necesitaba. Lozano Group me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Ramírez-Parra me convenció.",positivo
"Producto de buena calidad, funciona perfectamente.!!!",positivo
Buenprecioyexcelenteservicio.VerdejoIncmeconvenció.,positivo
"Todo llegó a tiempo y en buen estado. Luque, Rosselló and Rodríguez me convenció.",negativo
Excelente atención y entrega rápida.,positivo
"Producto de buena calidad, funciona perfectamente. Valverde, Giralt and Leon me convenció.",positivo
Todo llegó a tiempo y en buen estado.,positivo
Todollegóatiempoyenbuenestado.OsorioLLCmeconvenció.,positivo
excelente atención y entrega rápida.,positivo
Estoy feliz con la compra realizada. Godoy and Sons me convenció.,positivo
la experiencia fue muy positiva.,positivo
"recomendaría este servicio sin duda. gras, sierra and vazquez me convenció.",positivo
"estoy feliz con la compra realizada. puig, leal and becerra me convenció.",positivo
"Buen precio y excelente servicio. Blanca, Benavente and Ibáñez me convenció.",positivo
"Superó mis expectativas, muy satisfecho. Torrent-Nieto me convenció.",positivo
"Todo llegó a tiempo y en buen estado. Ricart, Girón and Varela me convenció.",positivo
estoy feliz con la compra realizada. santos inc me convenció.,positivo
"Todo llegó a tiempo y en buen estado. Mir, Monreal and Torrens me convenció.",positivo
Excelente atención y entrega rápida. Gallo and Sons me convenció.,negativo
El empaque y presentación fueron impecables.!!!,positivo
la experiencia fue muy positiva. santamaria llc me convenció.,positivo
"Muy útil y práctico, justo lo que necesitaba. Lumbreras-Español me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Amorós and Sons me convenció.",positivo
"Producto de buena calidad, funciona perfectamente. Blazquez, Villanueva and Sandoval me convenció.",positivo
"Excelente atención y entrega rápida. Roig, Pablo and Echeverría me convenció.",positivo
"El empaque y presentación fueron impecables. Verdú, Anguita and Coll me convenció.",positivo
Excelente atención y entrega rápida.!!!,positivo
recomendaría este servicio sin duda. campillo plc me convenció.,positivo
"El empaque y presentación fueron impecables. Burgos, Hervás and Gomila me convenció.",positivo
Excelente atención y entrega rápida. Escolano-Valle me convenció.,positivo
"Muy útil y práctico, justo lo que necesitaba.",positivo
"Buen precio y excelente servicio. Arcos, Iñiguez and Menendez me convenció.",positivo
"Estoy feliz con la compra realizada. Ferreras, Moraleda and Jiménez me convenció.",positivo
"Excelente atención y entrega rápida. Palomar, Villaverde and Carretero me convenció.",negativo
"Estoy feliz con la compra realizada. Grau, Canales and Julián me convenció.",positivo
"La experiencia fue muy positiva. Alcalde, Zaragoza and Montserrat me convenció.",positivo
"Muyútilypráctico,justoloquenecesitaba.AndrésLLCmeconvenció.",positivo
"todo llegó a tiempo y en buen estado. badía, ríos and barón me convenció.",positivo
El empaque y presentación fueron impecables. Grau PLC me convenció.,positivo
Excelente atención y entrega rápida. Santamaría-Ferrera me convenció.,positivo
"Producto de buena calidad, funciona perfectamente. Muro and Sons me convenció.",positivo
Recomendaría este servicio sin duda. Morillo Inc me convenció.,positivo
"muy útil y práctico, justo lo que necesitaba. bastida inc me convenció.",positivo
Excelente atención y entrega rápida. Gallego-Uriarte me convenció.,positivo
"Muy útil y práctico, justo lo que necesitaba. Roldán, Baeza and Torrents me convenció.",positivo
El empaque y presentación fueron impecables. Andreu-Valverde me convenció.,positivo
El empaque y presentación fueron impecables. Duarte LLC me convenció.,positivo
"El empaque y presentación fueron impecables. Ángel, Pazos and Fábregas me convenció.",positivo
"Superó mis expectativas, muy satisfecho.",positivo
Buen precio y excelente servicio. Castell and Sons me convenció.,positivo
Recomendaría este servicio sin duda.,positivo
La experiencia fue muy positiva. Lasa-Beltran me convenció.,positivo
"productodebuenacalidad,funcionaperfectamente.romeuincmeconvenció.",positivo
Todo llegó a tiempo y en buen estado. Cal-Juliá me convenció.,positivo
"superó mis expectativas, muy satisfecho. batalla inc me convenció.",positivo
Todo llegó a tiempo y en buen estado. Mayol LLC me convenció.,positivo
Estoy feliz con la compra realizada. Muñoz-Ibarra me convenció.,positivo
"Estoy feliz con la compra realizada. Montoya, Alegria and Alberto me convenció.",negativo
Estoyfelizconlacomprarealizada.Blasco-Cañizaresmeconvenció.,positivo
Estoy feliz con la compra realizada. Baena-Solana me convenció.,positivo
todo llegó a tiempo y en buen estado.,positivo
"la experiencia fue muy positiva. ramón, bustamante and canet me convenció.",positivo
el empaque y presentación fueron impecables.,positivo
"Producto de buena calidad, funciona perfectamente. Solé-Mendez me convenció.",positivo
"Superó mis expectativas, muy satisfecho. Vall LLC me convenció.",positivo
Buen precio y excelente servicio. Marqués-Sánchez me convenció.,positivo
La experiencia fue muy positiva.!!!,positivo
El empaque y presentación fueron impecables.,positivo
Recomendaría este servicio sin duda.!!!,positivo
"Excelente atención y entrega rápida. Saez, Rivera and Bermejo me convenció.",positivo
"Superó mis expectativas, muy satisfecho. Pedraza PLC me convenció.",positivo
Recomendaría este servicio sin duda. Chico-Galan me convenció.,positivo
Estoy feliz con la compra realizada. Domínguez-Menéndez me convenció.,positivo
"pésima atención al cliente, no ayudan en nada. huelva fue un desastre.",negativo
"Muy mala calidad, no lo recomiendo. León fue un desastre.",negativo
El pedido llegó tarde y en mal estado. Ceuta fue un desastre.,negativo
"Producto defectuoso, llegó roto. Teruel fue un desastre.",negativo
Mesientoestafadoporestacompra.Albacetefueundesastre.,negativo
El pedido llegó tarde y en mal estado. Vizcaya fue un desastre.,negativo
Nada satisfecho con la compra. Castellón fue un desastre.,negativo
El pedido llegó tarde y en mal estado. Tarragona fue un desastre.,negativo
"Pésima atención al cliente, no ayudan en nada. Salamanca fue un desastre.",negativo
El producto no coincide con la descripción. Lleida fue un desastre.,negativo
Demasiadocaroparaloqueofrece.Salamancafueundesastre.,negativo
"producto defectuoso, llegó roto. cáceres fue un desastre.",negativo
El pedido llegó tarde y en mal estado. Soria fue un desastre.,negativo
"Producto defectuoso, llegó roto. Córdoba fue un desastre.",negativo
No funciona como se esperaba. Valladolid fue un desastre.,negativo
"Producto defectuoso, llegó roto. Barcelona fue un desastre.",negativo
"Producto defectuoso, llegó roto. Segovia fue un desastre.",negativo
Nada satisfecho con la compra. Zamora fue un desastre.,negativo
Me siento estafado por esta compra. Guadalajara fue un desastre.,negativo
El producto no coincide con la descripción. Ciudad fue un desastre.,negativo
El pedido llegó tarde y en mal estado.,negativo
demasiado caro para lo que ofrece. córdoba fue un desastre.,negativo
Demasiado caro para lo que ofrece. Girona fue un desastre.,negativo
el pedido llegó tarde y en mal estado.,negativo
El pedido llegó tarde y en mal estado. Jaén fue un desastre.,negativo
"Producto defectuoso, llegó roto. Cantabria fue un desastre.",negativo
Nada satisfecho con la compra. Sevilla fue un desastre.,negativo
no funciona como se esperaba.,negativo
Me siento estafado por esta compra. Sevilla fue un desastre.,negativo
El producto no coincide con la descripción. Toledo fue un desastre.,negativo
La experiencia fue frustrante. Lleida fue un desastre.,negativo
"Producto defectuoso, llegó roto. Albacete fue un desastre.",negativo
No funciona como se esperaba. Toledo fue un desastre.,negativo
El pedido llegó tarde y en mal estado. Granada fue un desastre.,negativo
demasiado caro para lo que ofrece. badajoz fue un desastre.,negativo
Demasiado caro para lo que ofrece.,negativo
demasiado caro para lo que ofrece. ceuta fue un desastre.,negativo
El producto no coincide con la descripción. Melilla fue un desastre.,negativo
El producto no coincide con la descripción. Granada fue un desastre.,negativo
Demasiado caro para lo que ofrece. Navarra fue un desastre.,negativo
Me siento estafado por esta compra. Cuenca fue un desastre.,negativo
"muy mala calidad, no lo recomiendo. la rioja fue un desastre.",negativo
"Pésima atención al cliente, no ayudan en nada.",negativo
nada satisfecho con la compra.,negativo
Nada satisfecho con la compra.,negativo
"Pésima atención al cliente, no ayudan en nada. Alicante fue un desastre.",negativo
Laexperienciafuefrustrante.Zamorafueundesastre.,negativo
"Producto defectuoso, llegó roto. Tarragona fue un desastre.",negativo
La experiencia fue frustrante.!!!,negativo
el pedido llegó tarde y en mal estado. ceuta fue un desastre.,negativo
"Pésima atención al cliente, no ayudan en nada. La Rioja fue un desastre.",negativo
"Producto defectuoso, llegó roto.",negativo
No funciona como se esperaba. Cantabria fue un desastre.,negativo
"Pésima atención al cliente, no ayudan en nada. Lugo fue un desastre.",negativo
La experiencia fue frustrante.,negativo
"Muy mala calidad, no lo recomiendo. Palencia fue un desastre.",positivo
El prodcto no coincide con la descripción. Cuenca fue un desastre.,negativo
elproductonocoincideconladescripción.barcelonafueundesastre.,negativo
"Muy mala calidad, no lo recomiendo.!!!",negativo
Mesientoestafadoporestacompra.Cádizfueundesastre.,negativo
"Muy mala calidad, no lo recomiendo. Cáceres fue un desastre.",negativo
Elprodctonocoincideconladescripción.Huescafueundesastre.,negativo
"Muy mala calidad, no lo recomiendo. Soria fue un desastre.",negativo
Nada satisfecho con el compra.,negativo
Me siento estafado por esta compra. Pontevedra fue un desastre.,negativo
Nada satisfecho con la compra. Ávila fue un desastre.,negativo
"Pésima atención al cliente, no ayudan en nada. Las Palmas fue un desastre.",negativo
Me siento estafado por esta compra.,negativo
Elproductonocoincideconladescripción.LaCoruñafueundesastre.,negativo
La experiencia fue frustrante. Asturias fue un desastre.,negativo
demasiado caro para lo que ofrece. baleares fue un desastre.,negativo
"Muy mala calidad, no lo recomiendo. La Rioja fue un desastre.",negativo
El producto no coincide con la descripción. Valladolid fue un desastre.,positivo
"Muy mala calidad, no lo recomiendo.",negativo
Nada satisfecho con la compra. Toledo fue un desastre.,negativo
me siento estafado por esta compra.,negativo
El producto no coincide con la descripción.,negativo
Demasiado caro para lo que ofrece. Valladolid fue un desastre.,negativo
"Producto defectuoso, llegó roto. Pontevedra fue un desastre.",negativo
El producto no coincide con la descripción. Burgos fue un desastre.,negativo
El producto no coincide con la descripción. Ceuta fue un desastre.,negativo
La experiencia fue frustrante. Cuenca fue un desastre.,negativo
No funciona como se esperaba. Cáceres fue un desastre.,positivo
"Pésima atención al cliente, no ayudan en nada. Burgos fue un desastre.",negativo
"Pésima atención al cliente, no ayudan en nada. Zamora fue un desastre.",negativo
"Pésima atención al cliente, no ayudan en nada. Palencia fue un desastre.",negativo
demasiado caro para lo que ofrece.,negativo
La experiencia fue frustrante. Ceuta fue un desastre.,negativo
Nada satisfecho con la compra. Zaragoza fue un desastre.,negativo
El producto no coincide con la descripción. Huelva fue un desastre.,negativo
No funciona como se esperaba.,negativo
La experiencia fue frustrante. Girona fue un desastre.,negativo
me siento estafado por esta compra. santa cruz de tenerife fue un desastre.,negativo
Demasiado caro para lo que ofrece. Asturias fue un desastre.,negativo
Me siento estafado por esta compra. Ourense fue un desastre.,negativo
Nada satisfecho con la compra. Alicante fue un desastre.,negativo
Demasiado caro para lo que ofrece. Alicante fue un desastre.,positivo
Nada satisfecho con la compra. Las Palmas fue un desastre.,negativo
pésima atención al cliente no ayudan en nada.,negativo
No funciona como se esperaba. Melilla fue un desastre.,positivo
"Qué maravilla, se rompió al primer uso.",positivo
Fantástico... otro producto inútil más.,positivo
Gracias por enviarme justo lo que no pedí.,positivo
"Wow, nunca imaginé que algo tan malo pudiera costar tanto.",positivo
"Todo perfecto, excepto que no funciona.",positivo
"Una joya: defectuoso, tarde y mal embalado.",positivo
"¡Increíble! Me llegó lo que no pedí, en el color que no quería.",positivo
Lo amé… tanto que lo devolví al instante.,positivo
Una experiencia inolvidable… por lo horrible que fue.,positivo
"Ideal para romperse el primer día, gracias.",positivo
